City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,castro,2,BR,1588875883,49,-24.79,-50.01,290.16,1.67
1,theologos,90,RE,1588875884,78,-21.36,55.77,298.15,2.6
2,saint-philippe,5,US,1588875884,13,42.6,-73.97,290.93,5.03
3,albany,87,PH,1588875884,78,9.19,117.81,300.54,2.16
4,tagusao,100,AR,1588875799,81,-54.8,-68.3,280.15,4.1
5,ushuaia,75,ZA,1588875685,93,-33.93,18.42,290.37,8.2
6,cape town,9,CV,1588875885,72,14.9,-24.5,297.5,7.4
7,sao filipe,100,ZA,1588875885,91,-34.42,19.23,289.26,2.42
8,hermanus,100,UZ,1588875590,56,40.56,65.69,295.15,4.1
9,nurota,21,AU,1588875887,81,-42.88,147.33,285.93,2.1
10,hobart,90,US,1588875887,73,19.73,-155.09,297.15,1.5
11,hilo,40,IN,1588875888,19,29.32,73.9,306.91,2.81
12,suratgarh,40,US,1588875889,65,20.89,-156.47,298.15,9.3
13,kahului,72,PF,1588875889,79,-9.8,-139.03,300.13,9.11
14,atuona,31,AU,1588875889,71,-34.73,135.87,287.9,5.81
15,port lincoln,75,TO,1588875889,94,-21.2,-175.2,298.15,3.1
16,vaini,40,MY,1588875609,94,5.41,100.34,301.15,1.5
17,georgetown,46,TR,1588875890,79,36.37,30.29,291.36,0.69
18,samusu,0,NA,1588875891,25,-18.06,13.84,293.19,4.23
19,kumluca,90,US,1588875891,84,71.29,-156.79,260.15,6.7
20,opuwo,73,RU,1588875891,87,64.38,-173.3,272.94,3.98
21,barrow,57,SA,1588875891,36,21.43,39.83,301.94,1.79
22,provideniya,100,BR,1588875892,83,-4.88,-66.9,301.02,2.26
23,mecca,97,TR,1588875893,88,39.05,28.66,280.19,2
24,illoqqortoormiut,0,ML,1588875893,8,20.2,1.01,310.2,3.22
25,carauari,40,PF,1588875893,77,-23.12,-134.97,297,7.56
26,demirci,62,RU,1588875893,93,54.72,158.62,270.16,1.43
27,tessalit,90,US,1588875894,34,42.1,-79.24,286.48,6.2
28,rikitea,100,RU,1588875894,99,63.05,179.32,272.35,4.92
29,milkovo,100,ZA,1588875895,94,-33.59,26.89,290.93,0.45
30,jamestown,15,AU,1588875895,87,-30.3,153.13,289.15,4.1
31,beringovskiy,2,CA,1588875896,48,49.63,-105.98,285.8,4.67
32,port alfred,90,US,1588875896,81,57.79,-152.41,280.15,15.9
33,coffs harbour,100,NZ,1588875896,85,-46.19,168.86,283.31,3.26
34,assiniboia,39,CK,1588875897,100,-21.21,-159.78,297.15,0.5
35,kodiak,75,US,1588875897,18,41.14,-73.36,291.15,5.7
36,mataura,2,LY,1588875898,11,30.33,10.85,305.32,2.81
37,avarua,75,PT,1588875898,100,38.52,-28.7,289.15,7.7
38,westport,47,AU,1588875036,100,-28.65,153.62,288.71,2.03
39,tarudant,90,CL,1588875899,93,-53.15,-70.92,281.15,3.6
40,nalut,0,RU,1588875900,43,55.82,65.58,288.24,1.96
41,ribeira grande,0,MW,1588875900,60,-13.53,33.74,288.98,3.55
42,byron bay,60,RU,1588875878,96,65.58,-171,268.47,1.14
43,punta arenas,73,NZ,1588875901,69,-46.28,169.85,284.26,1.34
44,belozerskoye,75,RE,1588875902,83,-20.9,55.55,295.15,2.6
45,mponela,58,CU,1588875902,41,21.88,-79.84,307.15,3.6
46,viligili,100,RU,1588875903,93,73.51,80.55,260.61,2.92
47,lavrentiya,90,CA,1588875903,92,69.45,-133.04,264.15,4.1
48,kaitangata,20,GL,1588875904,68,69.22,-51.1,272.15,5.7
49,sainte-marie,75,BR,1588875904,88,-22.97,-42.03,294.15,6.2
50,condado,80,RU,1588875904,92,68.75,161.3,270.04,1.31
51,dikson,40,MU,1588875905,88,-20.41,57.7,297.15,1
52,tuktoyaktuk,100,PA,1588875905,70,7.53,-80.03,302.66,3.43
53,ilulissat,0,IN,1588875905,82,20.71,70.98,300.29,5.82
54,arraial do cabo,100,UZ,1588875907,43,40.43,71.72,294.15,2.1
55,cherskiy,90,NL,1588875907,58,52.96,4.76,286.48,2.1
56,mahebourg,40,MU,1588875907,88,-20.34,57.76,297.15,1
57,pedasi,75,TW,1588875909,70,22.67,120.49,302.15,1.5
58,diu,75,US,1588875712,88,22.08,-159.32,296.15,8.7
59,komsomolskiy,0,JP,1588875887,82,44.02,144.27,274.26,2.68
60,den helder,0,NA,1588875910,25,-17.88,15.07,296.03,3.65
61,bambous virieux,100,CN,1588875910,79,36.62,101.77,278.3,2.38
62,mocambique,4,ZA,1588875910,84,-30.74,30.45,291.79,2.62
63,bolungarvik,87,NZ,1588875911,78,-46.6,168.33,283.69,8.11
64,pingtung,74,MY,1588875756,100,2.43,103.84,298.15,2.6
65,kapaa,100,KI,1588875912,79,3.07,172.79,301.34,4.22
66,abashiri,99,RU,1588875912,93,71.92,114.08,257.2,2.77
67,ongandjera,98,RU,1588875913,96,70.63,147.92,270.87,2.59
68,xining,40,GL,1588875913,41,65.61,-37.64,277.15,4.1
69,port shepstone,100,RU,1588875914,92,58.69,99.18,278.12,1.78
70,taolanaro,56,AU,1588875914,98,-33.65,115.33,286.48,5.2
71,bluff,3,BR,1588875914,66,-5.2,-35.46,303.15,5.1
72,mersing,75,NO,1588875915,81,62.58,6.13,280.15,7.7
73,barentsburg,80,CI,1588875788,75,4.42,-7.35,301.74,3.6
74,butaritari,100,RU,1588875916,69,62.85,34.83,278.46,1.88
75,saskylakh,40,JP,1588875916,93,35.73,140.83,283.15,2.1
76,chokurdakh,20,US,1588875917,67,40.6,-124.16,291.48,2.1
77,tasiilaq,20,CA,1588875917,73,66.15,-65.71,267.15,3.6
78,sentyabrskiy,0,AO,1588875918,45,-15.2,12.15,302.37,2.9
79,kodinsk,0,MR,1588875920,7,20.52,-13.05,314.07,6.63
80,busselton,94,NZ,1588875624,88,-45.42,167.72,283.89,1.74
81,touros,97,GB,1588875921,81,60.4,-1.35,282.15,6.7
82,roald,16,VN,1588875921,68,21.32,103.9,298.12,0.88
83,tabou,100,RU,1588875921,96,71.69,128.87,261.19,4.54
84,povenets,100,ZA,1588875922,82,-34.53,20.04,290.15,4.1
85,hasaki,91,UA,1588875922,65,49.62,37.7,284.72,2.55
86,tsihombe,18,IN,1588875923,30,26.8,82.2,302.82,2.37
87,fortuna,100,RU,1588875924,91,58.96,126.29,274.42,6.45
88,pangnirtung,33,AU,1588875924,93,-38.27,141.97,284.27,4.32
89,namibe,20,EC,1588875925,70,-0.74,-90.35,302.15,7.2
90,rawannawi,75,NO,1588875926,86,70.37,31.11,276.15,7.7
91,atar,0,AR,1588875755,48,-38,-57.56,290.15,4.1
92,te anau,85,ZA,1588875927,81,-33.02,27.91,293.1,6.46
93,brae,75,CA,1588875927,52,50.2,-66.38,280.93,6.2
94,son la,20,US,1588875927,21,41.37,-73.41,290.93,5.1
95,tiksi,71,RU,1588875828,92,64.57,143.2,268.25,1.69
96,bredasdorp,83,ZW,1588875928,57,-17.3,31.33,288.56,1.6
97,kivsharivka,75,CA,1588875928,61,47.67,-52.73,285.37,3.6
98,ayodhya,5,MX,1588875929,28,22.89,-109.91,305.37,2.6
99,tommot,40,NO,1588875929,74,66.08,13.82,276.15,2.6
100,codrington,100,RU,1588875930,96,59.24,163.07,273.91,2.21
